"site","year","SST"
"MEKB","2007-03-01",-2.79660034179688
"MEPA","2007-03-01",-2.79660034179688
"SWAIN","2007-03-01",-1.88116455078125
"OTIS","2007-04-01",-2.1351318359375
"CHSWRR","2007-04-01",-3.50515747070312
"CHSWRG","2007-04-01",-3.50515747070312
"PSSB","2007-04-01",-3.50814819335938
"PSFB","2007-04-01",-3.50814819335938
"SYSE","2007-04-01",-3.66390991210938
"SYSW","2007-04-01",-3.66390991210938
"SYLM","2007-04-01",-3.66390991210938
"JBAB","2007-04-01",-3.52764892578125
"NRBW","2007-04-01",-3.96615600585938
"MEBB","2007-04-01",-3.96615600585938
"MEKB","2007-04-01",-3.96615600585938
"MEPA","2007-04-01",-3.96615600585938
"SWAIN","2007-04-01",-2.72381591796875
"OTIS","2007-05-01",-2.67080688476562
"CHSWRR","2007-05-01",-4.09481811523438
"CHSWRG","2007-05-01",-4.09481811523438
"PSSB","2007-05-01",-4.13528442382812
"PSFB","2007-05-01",-4.13528442382812
"SYSE","2007-05-01",-4.26583862304688
"SYSW","2007-05-01",-4.26583862304688
"SYLM","2007-05-01",-4.26583862304688
"JBAB","2007-05-01",-4.12130737304688
"NRBW","2007-05-01",-4.63748168945312
"MEBB","2007-05-01",-4.63748168945312
"MEKB","2007-05-01",-4.63748168945312
"MEPA","2007-05-01",-4.63748168945312
"SWAIN","2007-05-01",-3.12185668945312
"OTIS","2007-06-01",-2.89599609375
"CHSWRR","2007-06-01",-3.86419677734375
"CHSWRG","2007-06-01",-3.86419677734375
"PSSB","2007-06-01",-3.85891723632812
"PSFB","2007-06-01",-3.85891723632812
"SYSE","2007-06-01",-3.98800659179688
"SYSW","2007-06-01",-3.98800659179688
"SYLM","2007-06-01",-3.98800659179688
"JBAB","2007-06-01",-3.92245483398438
"NRBW","2007-06-01",-4.39459228515625
"MEBB","2007-06-01",-4.39459228515625
"MEKB","2007-06-01",-4.39459228515625
"MEPA","2007-06-01",-4.39459228515625
"SWAIN","2007-06-01",-3.21530151367188
"OTIS","2007-07-01",-2.69064331054688
"CHSWRR","2007-07-01",-3.30548095703125
"CHSWRG","2007-07-01",-3.30548095703125
"PSSB","2007-07-01",-3.15866088867188
"PSFB","2007-07-01",-3.15866088867188
"SYSE","2007-07-01",-3.2841796875
"SYSW","2007-07-01",-3.2841796875
"SYLM","2007-07-01",-3.2841796875
"JBAB","2007-07-01",-3.1497802734375
"NRBW","2007-07-01",-3.4490966796875
"MEBB","2007-07-01",-3.4490966796875
"MEKB","2007-07-01",-3.4490966796875
"MEPA","2007-07-01",-3.4490966796875
"SWAIN","2007-07-01",-2.826416015625
"OTIS","2007-08-01",-2.11297607421875
"CHSWRR","2007-08-01",-2.30221557617188
"CHSWRG","2007-08-01",-2.30221557617188
"PSSB","2007-08-01",-2.00567626953125
"PSFB","2007-08-01",-2.00567626953125
"SYSE","2007-08-01",-2.22186279296875
"SYSW","2007-08-01",-2.22186279296875
"SYLM","2007-08-01",-2.22186279296875
"JBAB","2007-08-01",-2.04263305664062
"NRBW","2007-08-01",-2.17318725585938
"MEBB","2007-08-01",-2.17318725585938
"MEKB","2007-08-01",-2.17318725585938
"MEPA","2007-08-01",-2.17318725585938
"SWAIN","2007-08-01",-2.11932373046875
"OTIS","2007-09-01",-0.97412109375
"CHSWRR","2007-09-01",-0.811614990234375
"CHSWRG","2007-09-01",-0.811614990234375
"PSSB","2007-09-01",-0.537628173828125
"PSFB","2007-09-01",-0.537628173828125
"SYSE","2007-09-01",-0.767669677734375
"SYSW","2007-09-01",-0.767669677734375
"SYLM","2007-09-01",-0.767669677734375
"JBAB","2007-09-01",-0.62518310546875
"NRBW","2007-09-01",-0.76519775390625
"MEBB","2007-09-01",-0.76519775390625
"MEKB","2007-09-01",-0.76519775390625
"MEPA","2007-09-01",-0.76519775390625
"SWAIN","2007-09-01",-0.901214599609375
"OTIS","2007-10-01",1.0262451171875
"CHSWRR","2007-10-01",1.44338989257812
"CHSWRG","2007-10-01",1.44338989257812
"PSSB","2007-10-01",1.34271240234375
"PSFB","2007-10-01",1.34271240234375
"SYSE","2007-10-01",1.08154296875
"SYSW","2007-10-01",1.08154296875
"SYLM","2007-10-01",1.08154296875
"JBAB","2007-10-01",1.23568725585938
"NRBW","2007-10-01",1.47900390625
"MEBB","2007-10-01",1.47900390625
"MEKB","2007-10-01",1.47900390625
"MEPA","2007-10-01",1.47900390625
"SWAIN","2007-10-01",0.719390869140625
"OTIS","2007-11-01",0.810455322265625
"CHSWRR","2007-11-01",0.98614501953125
"CHSWRG","2007-11-01",0.98614501953125
"PSSB","2007-11-01",0.359375
"PSFB","2007-11-01",0.359375
"SYSE","2007-11-01",0.346893310546875
"SYSW","2007-11-01",0.346893310546875
"SYLM","2007-11-01",0.346893310546875
"JBAB","2007-11-01",0.56494140625
"NRBW","2007-11-01",0.77825927734375
"MEBB","2007-11-01",0.77825927734375
"MEKB","2007-11-01",0.77825927734375
"MEPA","2007-11-01",0.77825927734375
"SWAIN","2007-11-01",0.510284423828125
"OTIS","2007-12-01",0.40496826171875
"CHSWRR","2007-12-01",0.25018310546875
"CHSWRG","2007-12-01",0.25018310546875
"PSSB","2007-12-01",-0.414459228515625
"PSFB","2007-12-01",-0.414459228515625
"SYSE","2007-12-01",-0.2623291015625
"SYSW","2007-12-01",-0.2623291015625
"SYLM","2007-12-01",-0.2623291015625
"JBAB","2007-12-01",-0.063140869140625
"NRBW","2007-12-01",-0.298583984375
"MEBB","2007-12-01",-0.298583984375
"MEKB","2007-12-01",-0.298583984375
"MEPA","2007-12-01",-0.298583984375
"SWAIN","2007-12-01",0.024749755859375
"OTIS","2008-01-01",0.173248291015625
