"site","time","SST"
"PSSB","2007-05-01",-4.79959106445312
"PSFB","2007-05-01",-4.79959106445312
"SYSE","2007-05-01",-4.95150756835938
"SYSW","2007-05-01",-4.95150756835938
"SYLM","2007-05-01",-4.95150756835938
"JBAB","2007-05-01",-4.900634765625
"NRBW","2007-05-01",-4.97021484375
"MEBB","2007-05-01",-4.97021484375
"MEKB","2007-05-01",-4.97021484375
"MEPA","2007-05-01",-4.97021484375
"SWAIN","2007-05-01",-3.58279418945312
"OTIS","2007-06-01",-3.40512084960938
"CHSWRR","2007-06-01",-4.54214477539062
"CHSWRG","2007-06-01",-4.54214477539062
"PSSB","2007-06-01",-4.87896728515625
"PSFB","2007-06-01",-4.87896728515625
"SYSE","2007-06-01",-5.14401245117188
"SYSW","2007-06-01",-5.14401245117188
"SYLM","2007-06-01",-5.14401245117188
"JBAB","2007-06-01",-5.2239990234375
"NRBW","2007-06-01",-5.24856567382812
"MEBB","2007-06-01",-5.24856567382812
"MEKB","2007-06-01",-5.24856567382812
"MEPA","2007-06-01",-5.24856567382812
"SWAIN","2007-06-01",-3.54403686523438
"OTIS","2007-07-01",-3.09710693359375
"CHSWRR","2007-07-01",-3.66891479492188
"CHSWRG","2007-07-01",-3.66891479492188
"PSSB","2007-07-01",-4.0694580078125
"PSFB","2007-07-01",-4.0694580078125
"SYSE","2007-07-01",-4.48361206054688
"SYSW","2007-07-01",-4.48361206054688
"SYLM","2007-07-01",-4.48361206054688
"JBAB","2007-07-01",-4.85250854492188
"NRBW","2007-07-01",-4.81124877929688
"MEBB","2007-07-01",-4.81124877929688
"MEKB","2007-07-01",-4.81124877929688
"MEPA","2007-07-01",-4.81124877929688
"SWAIN","2007-07-01",-3.17092895507812
"OTIS","2007-08-01",-2.3675537109375
"CHSWRR","2007-08-01",-2.16836547851562
"CHSWRG","2007-08-01",-2.16836547851562
"PSSB","2007-08-01",-2.27493286132812
"PSFB","2007-08-01",-2.27493286132812
"SYSE","2007-08-01",-2.65960693359375
"SYSW","2007-08-01",-2.65960693359375
"SYLM","2007-08-01",-2.65960693359375
"JBAB","2007-08-01",-3.16815185546875
"NRBW","2007-08-01",-2.753662109375
"MEBB","2007-08-01",-2.753662109375
"MEKB","2007-08-01",-2.753662109375
"MEPA","2007-08-01",-2.753662109375
"SWAIN","2007-08-01",-2.42703247070312
"OTIS","2007-09-01",-1.435546875
"CHSWRR","2007-09-01",-1.464111328125
"CHSWRG","2007-09-01",-1.464111328125
"PSSB","2007-09-01",-1.55093383789062
"PSFB","2007-09-01",-1.55093383789062
"SYSE","2007-09-01",-1.6822509765625
"SYSW","2007-09-01",-1.6822509765625
"SYLM","2007-09-01",-1.6822509765625
"JBAB","2007-09-01",-1.92977905273438
"NRBW","2007-09-01",-1.4783935546875
"MEBB","2007-09-01",-1.4783935546875
"MEKB","2007-09-01",-1.4783935546875
"MEPA","2007-09-01",-1.4783935546875
"SWAIN","2007-09-01",-1.41812133789062
"OTIS","2007-10-01",0.841766357421875
"CHSWRR","2007-10-01",0.299774169921875
"CHSWRG","2007-10-01",0.299774169921875
"PSSB","2007-10-01",0.004058837890625
"PSFB","2007-10-01",0.004058837890625
"SYSE","2007-10-01",0.0029296875
"SYSW","2007-10-01",0.0029296875
"SYLM","2007-10-01",0.0029296875
"JBAB","2007-10-01",0.203369140625
"NRBW","2007-10-01",0.449310302734375
"MEBB","2007-10-01",0.449310302734375
"MEKB","2007-10-01",0.449310302734375
"MEPA","2007-10-01",0.449310302734375
"SWAIN","2007-10-01",0.872314453125
"OTIS","2007-11-01",0.950531005859375
"CHSWRR","2007-11-01",0.208892822265625
"CHSWRG","2007-11-01",0.208892822265625
"PSSB","2007-11-01",-0.193939208984375
"PSFB","2007-11-01",-0.193939208984375
"SYSE","2007-11-01",-0.11114501953125
"SYSW","2007-11-01",-0.11114501953125
"SYLM","2007-11-01",-0.11114501953125
"JBAB","2007-11-01",0.200225830078125
"NRBW","2007-11-01",0.335235595703125
"MEBB","2007-11-01",0.335235595703125
"MEKB","2007-11-01",0.335235595703125
"MEPA","2007-11-01",0.335235595703125
"SWAIN","2007-11-01",1.04733276367188
"OTIS","2007-12-01",0.20867919921875
"CHSWRR","2007-12-01",-0.5738525390625
"CHSWRG","2007-12-01",-0.5738525390625
"PSSB","2007-12-01",-0.887451171875
"PSFB","2007-12-01",-0.887451171875
"SYSE","2007-12-01",-0.723480224609375
"SYSW","2007-12-01",-0.723480224609375
"SYLM","2007-12-01",-0.723480224609375
"JBAB","2007-12-01",-0.436492919921875
"NRBW","2007-12-01",-0.43682861328125
"MEBB","2007-12-01",-0.43682861328125
"MEKB","2007-12-01",-0.43682861328125
"MEPA","2007-12-01",-0.43682861328125
"SWAIN","2007-12-01",0.268402099609375
"OTIS","2008-01-01",-0.193756103515625
"CHSWRR","2008-01-01",-0.55902099609375
"CHSWRG","2008-01-01",-0.55902099609375
"PSSB","2008-01-01",-0.801422119140625
"PSFB","2008-01-01",-0.801422119140625
"SYSE","2008-01-01",-0.878326416015625
"SYSW","2008-01-01",-0.878326416015625
"SYLM","2008-01-01",-0.878326416015625
"JBAB","2008-01-01",-1.0811767578125
